[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
348,0,158179,30,0,0,0,0,455,11,30,3,98
355,0,161578,30,0,0,0,0,455,11,30,3,98
387,0,176519,28,0,0,0,0,456,11,28,3,98
389,0,177136,28,0,0,0,0,455,11,28,3,98
319,0,144436,37,5,20,136,19,446,12,37,3,97
331,0,150884,34,0,0,0,0,456,11,34,3,99
372,0,169181,30,0,0,0,0,454,11,30,3,99
349,0,158452,32,0,0,0,0,454,11,32,3,99
358,0,163258,33,0,0,0,0,456,12,33,3,99
321,0,145731,34,2,6,32,31,452,11,34,3,100
369,0,168376,29,0,0,0,0,456,11,29,3,100
421,0,191307,29,0,0,0,0,454,12,29,2,99
259,0,117658,34,0,0,0,0,455,11,34,3,75
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,0,6,14,130,2,17,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,12350,19,0,0,0,0,473,12,19,2,6
408,0,185945,28,2,3,20,22,453,12,28,2,99
347,0,157667,33,0,0,0,0,455,11,33,3,99
393,0,179152,29,0,0,0,0,456,12,29,2,97
400,0,181601,26,0,0,0,0,454,11,26,2,99
336,0,153262,34,0,0,0,0,457,11,34,3,99
316,0,143864,34,2,2,16,18,452,11,34,3,99
352,0,160064,30,0,0,0,0,455,11,30,3,100
345,0,156632,30,0,0,0,0,455,11,30,3,98
289,0,131488,39,0,0,0,0,455,11,39,3,99
271,0,123527,38,22,4,103,10,422,11,36,3,99
349,0,158521,32,0,0,0,0,455,11,32,3,99
388,0,176481,30,2,3,20,40,453,12,30,3,98
355,0,161637,31,0,0,0,0,456,11,31,3,99
30,0,13454,40,0,0,0,0,445,11,40,3,9
0,0,0,0,2,0,16,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,7,40,3,13,0,3,0,0
190,0,86539,29,3,0,44,1,448,12,28,2,48
382,0,174004,29,0,0,0,0,455,11,29,3,99
327,0,148678,33,0,0,0,0,455,11,33,3,99
318,0,144802,33,0,0,0,0,455,11,33,3,99
322,0,146659,36,2,8,40,41,452,12,36,3,99
389,0,176986,29,0,0,0,0,455,11,29,3,99
349,0,158976,29,0,0,0,0,455,10,29,3,99
360,0,163637,30,0,0,0,0,455,11,30,3,99
375,0,170960,31,0,0,0,0,456,12,31,3,100
306,0,138809,37,0,0,0,0,454,11,37,3,100
336,0,152728,34,2,2,16,48,452,11,34,3,99
347,0,157728,30,0,0,0,0,454,11,30,3,98
325,0,148252,35,0,0,0,0,456,12,35,3,99
279,0,126528,33,0,0,0,0,454,11,33,3,83
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,43,0,15,0,0,0,0
0,0,0,0,2,10,49,4,24,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,1,0,8,0,6,1,0,0,0
