[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
576,0,262223,21,0,0,0,0,455,12,21,2,98
563,0,256246,20,0,0,0,0,455,12,20,2,98
571,0,260327,20,2,4,24,14,454,11,20,2,98
576,0,261704,20,3,0,12,0,452,12,20,2,97
576,0,262303,20,0,0,0,0,456,12,20,2,97
584,0,266050,20,0,0,0,0,455,12,20,2,98
579,0,263216,20,0,0,0,0,455,12,20,2,97
593,0,269832,20,0,0,0,0,455,12,20,2,98
568,0,258552,22,4,4,32,15,452,13,22,2,97
600,0,272920,20,0,0,0,0,455,12,20,2,97
568,0,258992,20,0,0,0,0,456,12,20,2,97
594,0,269986,19,0,0,0,0,455,12,19,2,97
598,0,271680,19,0,0,0,0,455,11,19,2,97
570,0,259560,20,6,1,28,7,451,12,20,2,97
590,0,268558,20,0,0,0,0,455,12,20,2,98
540,0,245475,22,0,0,0,0,455,12,22,2,98
469,0,213144,19,0,0,0,0,454,12,19,2,75
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,12,6,6,0,6,0,0
0,0,0,0,2,0,8,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,1,20,3,5,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,1,106,0,50420,93,470,125,93,3,27
1,0,4,676,324,8,153840,436,474,117,436,3,100
2,0,8,335,341,0,164805,536,480,116,534,3,100
1,0,4,202,327,0,157598,583,481,128,582,3,100
2,0,8,56,327,0,156797,745,476,128,741,3,100
1,0,4,58,334,0,160169,700,479,128,698,3,100
1,0,4,43,399,0,192412,671,482,128,669,3,100
2,0,8,52,368,1,175755,683,475,128,679,3,100
1,0,4,28,348,0,167452,645,480,128,643,3,100
1,0,4,35,360,0,172995,711,480,128,709,3,102
1,0,4,2,356,0,170172,825,476,128,823,3,100
3,0,12,118,356,0,171030,666,476,128,661,3,100
1,0,4,8,360,0,174228,731,482,128,729,3,100
1,0,4,13,314,3,149493,799,474,128,797,3,100
1,0,4,10,307,22,147547,655,479,128,653,3,100
2,0,8,133,389,0,183968,770,470,129,767,3,100
1,0,4,6,324,0,154765,721,476,128,718,3,100
1,0,4,94,333,0,159225,771,477,131,769,3,100
1,0,4,108,355,0,171258,741,481,137,739,3,100
2,0,8,120,332,0,158434,688,474,128,685,3,100
1,0,4,165,352,0,168443,690,478,128,688,3,102
1,0,4,75,326,0,156834,830,480,128,828,3,100
1,0,4,42,362,0,172186,662,475,105,660,2,83
0,0,0,0,2,16,73,9,36,1,9,1,0
1,0,4,10,0,0,0,0,4,1,10,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21,0,10144,17,483,124,17,5,11
3,0,12,166,372,0,179430,382,478,123,381,3,100
1,0,4,35,396,0,189486,593,477,128,592,3,100
2,0,8,97,381,1,183162,643,479,128,640,3,100
1,0,4,23,391,0,188312,711,481,129,710,3,100
1,0,4,193,306,36,141029,716,460,128,714,3,100
2,0,8,136,393,0,189172,658,479,128,655,3,100
1,0,4,48,328,2,156167,642,475,130,640,3,100
1,0,4,103,356,1,168036,677,470,128,675,3,100
1,0,4,152,349,0,167673,769,479,128,767,3,100
2,0,8,122,328,0,156215,674,474,128,671,3,100
1,0,4,51,359,0,172532,811,480,128,809,3,100
2,0,8,53,369,0,176130,678,475,128,675,3,100
2,0,8,44,326,14,156055,704,475,129,700,3,100
1,0,4,50,366,0,174227,698,475,128,696,3,100
1,0,4,25,371,0,178233,677,479,128,675,3,100
1,0,4,91,293,0,139846,757,475,128,755,3,100
3,0,12,84,379,0,182099,857,477,128,851,3,100
1,0,4,75,320,0,154536,637,481,128,635,3,100
1,0,4,47,324,0,153801,726,474,128,724,3,100
4,1,65,60,373,0,179239,677,475,128,670,3,100
2,0,8,136,359,0,173296,600,480,128,598,3,100
24,0,9301,210,370,0,177831,868,475,128,828,3,100
32,0,14667,453,279,0,134257,718,478,128,690,3,100
