[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
94,0,42331,33,0,0,0,0,451,8,33,4,38
240,0,109147,45,2,10,48,132,451,11,45,4,100
226,0,102904,47,0,0,0,0,455,11,47,4,99
226,0,102844,45,0,0,0,0,455,11,45,4,99
290,0,131663,39,0,0,0,0,454,11,39,3,99
256,0,116417,39,0,0,0,0,455,10,39,4,99
182,0,81577,64,4,8,65,32,438,11,64,5,100
191,0,86365,56,0,0,0,0,453,11,56,5,100
232,0,105847,43,0,0,0,0,456,11,43,4,98
242,0,109763,44,0,0,0,0,453,11,44,4,99
219,0,99376,47,0,0,0,0,454,11,47,5,99
226,0,102844,51,3,6,48,33,449,11,50,4,99
208,0,93712,48,0,0,0,0,451,10,48,5,100
214,0,97296,50,0,0,0,0,455,11,50,5,99
307,0,139768,37,0,0,0,0,455,11,37,3,99
328,0,149032,34,0,0,0,0,454,11,34,3,100
268,0,121433,40,2,0,32,38,449,11,40,4,99
228,0,102799,51,2,7,36,68,448,12,51,4,100
240,0,109012,39,0,0,0,0,454,10,39,4,98
255,0,115686,46,0,0,0,0,454,11,46,4,99
237,0,108044,41,0,0,0,0,456,10,41,4,99
171,0,77480,57,21,1,135,115,404,12,63,5,98
241,0,109653,46,3,18,85,37,450,11,46,4,99
247,0,112608,47,0,0,0,0,456,12,47,4,100
243,0,109932,43,0,0,0,0,453,10,43,4,100
192,0,87703,53,0,0,0,0,456,10,53,5,99
233,0,105679,45,5,0,56,26,444,11,45,4,100
253,0,115350,36,2,16,72,48,452,9,36,4,99
303,0,137752,32,0,0,0,0,455,10,32,3,99
236,0,107646,45,0,0,0,0,455,11,45,4,98
205,0,93200,48,0,0,0,0,455,10,48,5,99
260,0,118720,40,0,0,0,0,457,11,40,4,99
250,0,113729,46,0,0,0,0,455,11,46,4,100
227,0,103317,45,2,2,16,39,451,10,45,4,99
224,0,101292,50,0,0,0,0,453,11,50,4,99
249,0,113795,45,0,0,0,0,456,11,45,4,99
229,0,103857,48,20,4,127,28,418,11,46,4,100
231,0,105111,47,0,0,0,0,454,11,47,4,99
245,0,111604,43,3,14,67,48,451,11,43,4,100
235,0,106589,43,0,0,0,0,453,10,43,4,99
225,0,102290,47,0,0,0,0,455,10,47,4,100
239,0,109099,42,0,0,0,0,456,10,42,4,99
231,0,105151,42,0,0,0,0,455,9,42,4,99
231,0,105194,43,0,0,0,0,454,10,43,4,98
288,0,131381,38,2,2,16,42,454,11,38,3,100
241,0,109341,44,0,0,0,0,454,11,44,4,99
266,0,121145,39,0,0,0,0,455,11,39,4,99
288,0,130849,37,0,0,0,0,455,11,37,3,99
261,0,118841,40,0,0,0,0,455,10,40,4,98
254,0,115655,43,0,0,0,0,455,11,43,4,98
247,0,112554,43,2,2,16,46,452,11,43,4,100
252,0,114341,41,0,0,0,0,454,11,41,4,98
221,0,100621,49,0,0,0,0,456,11,49,5,99
263,0,119443,39,0,0,0,0,454,10,39,4,95
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,4,8,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,2,16,5,8,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,1,137,9,54951,97,397,65,96,2,30
1,0,4,465,193,0,91920,172,475,64,174,5,94
1,0,4,987,267,0,128749,511,481,103,513,4,100
2,0,8,236,258,0,123230,701,473,128,697,4,100
1,0,4,35,297,0,144280,686,485,128,684,3,100
0,0,0,0,310,0,147891,757,476,128,757,3,100
2,0,8,333,301,33,143649,797,473,128,794,3,100
1,0,4,429,276,0,133501,858,482,128,857,4,100
1,0,4,173,305,0,144474,741,473,128,739,3,100
1,0,4,119,299,0,142976,842,476,128,840,3,100
2,0,8,71,282,0,133980,919,471,128,913,4,100
1,0,4,36,277,0,132490,799,477,128,796,4,100
2,0,8,316,334,0,158861,793,472,124,790,3,100
2,0,8,439,271,0,130079,708,476,148,706,4,100
1,0,4,181,254,0,121055,747,476,128,745,4,100
1,0,4,310,266,0,126726,865,474,128,863,4,100
1,0,4,118,291,0,139582,879,478,128,876,3,100
1,0,4,215,246,0,117937,994,477,128,991,4,100
2,0,8,102,377,0,180324,704,476,128,701,3,100
1,0,4,68,271,0,129278,739,475,128,736,4,100
1,0,4,95,295,0,143968,941,486,128,938,3,100
1,0,4,121,332,0,155083,816,465,128,814,3,100
1,0,4,199,296,2,140753,787,475,128,785,3,100
1,0,4,45,321,44,154004,812,478,128,809,3,100
2,0,8,186,338,0,157824,675,465,124,672,3,100
1,0,4,78,287,0,137449,696,477,128,694,3,100
1,0,4,202,278,0,133771,963,480,128,960,4,100
2,0,8,92,303,0,145392,926,477,128,921,3,100
2,0,16,36,338,0,161866,724,476,128,720,3,100
0,0,0,0,282,0,136494,823,483,128,823,4,100
2,0,8,540,293,0,139351,628,473,112,628,3,100
1,0,4,202,283,0,136429,861,480,128,858,4,101
1,0,4,192,327,0,157072,783,479,128,781,3,100
1,0,4,708,336,0,162056,672,481,120,672,3,100
1,0,4,197,276,0,132587,700,478,128,698,4,100
2,0,8,18,349,0,167710,633,478,128,629,3,100
