[DSK:vdb]Reads,[DSK:vdb]RMerge,[DSK:vdb]RKBytes,[DSK:vdb]WaitR,[DSK:vdb]Writes,[DSK:vdb]WMerge,[DSK:vdb]WKBytes,[DSK:vdb]WaitW,[DSK:vdb]Request,[DSK:vdb]QueLen,[DSK:vdb]Wait,[DSK:vdb]SvcTim,[DSK:vdb]Util
187,0,84362,35,0,0,0,0,451,11,35,3,65
248,0,113315,47,0,0,0,0,457,12,47,4,100
292,0,133145,40,2,7,36,36,452,12,40,3,100
278,0,126476,42,0,0,0,0,455,12,42,4,100
319,0,144371,36,0,0,0,0,453,12,36,3,100
261,0,118726,42,8,1,44,1,441,11,41,4,99
248,0,112898,46,0,0,0,0,454,12,46,4,99
224,0,101885,48,3,10,51,45,450,11,48,4,100
251,0,113700,44,0,0,0,0,454,11,44,4,100
203,0,91829,59,0,0,0,0,452,12,59,5,100
253,0,114918,40,0,0,0,0,455,10,40,4,99
242,0,110309,46,0,0,0,0,455,11,46,4,99
255,0,115418,40,0,0,0,0,452,10,40,4,99
235,0,107107,43,2,3,20,67,452,10,43,4,99
263,0,119792,45,0,0,0,0,455,12,45,4,100
255,0,115928,39,0,0,0,0,455,10,39,4,99
238,0,108651,48,0,0,0,0,456,12,48,4,100
244,0,110512,43,0,0,0,0,452,11,43,4,100
256,0,117191,47,0,0,0,0,457,12,47,4,100
283,0,128768,39,2,2,16,40,452,11,39,3,99
220,0,98815,50,18,0,130,17,415,12,48,4,100
249,0,113696,51,0,0,0,0,456,12,51,4,100
188,0,85494,62,0,0,0,0,455,12,62,5,99
223,0,101595,55,0,0,0,0,455,11,55,4,100
173,0,77547,62,2,20,88,68,443,11,63,6,100
223,0,102036,51,0,0,0,0,457,12,51,4,99
233,0,106274,49,0,0,0,0,456,12,49,4,99
229,0,103976,52,0,0,0,0,453,11,52,4,100
196,0,89282,56,0,0,0,0,456,11,56,5,100
215,0,98134,57,0,0,0,0,456,12,57,5,100
211,0,95935,52,2,1,12,53,451,11,52,5,100
176,0,79770,67,0,0,0,0,454,11,67,6,99
181,0,82598,54,0,0,0,0,456,11,54,5,99
149,0,68234,73,0,0,0,0,456,11,73,7,100
150,0,68120,76,0,0,0,0,454,11,76,7,100
201,0,91460,63,2,1,12,53,450,12,63,5,98
195,0,88921,55,0,0,0,0,456,12,55,5,99
146,0,66254,62,0,0,0,0,454,11,62,5,72
1,0,4,1,0,0,0,0,4,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,6,32,6,16,1,6,0,0
2,0,8,0,0,0,0,0,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,8,24,67,1,23401,87,340,110,86,4,30
1,0,4,410,154,0,74109,738,478,128,736,6,100
2,0,8,133,187,1,89605,1000,475,128,991,5,100
0,0,0,0,271,1,130462,1171,481,128,1171,4,100
1,0,4,327,206,0,98342,1112,475,128,1108,5,100
1,0,4,375,249,1,119693,947,479,128,945,4,100
2,0,8,34,342,3,161928,842,471,130,838,3,100
0,0,0,0,255,1,124775,964,489,130,964,4,100
1,0,4,213,217,1,102830,1048,473,128,1044,5,100
2,0,8,76,231,0,110211,1138,473,128,1129,4,100
2,0,8,107,279,21,130992,880,466,128,874,4,101
2,0,8,211,249,0,118674,1060,472,128,1053,4,100
1,0,4,153,219,1,104651,825,476,128,822,5,100
0,0,0,0,230,0,110932,1023,482,128,1023,4,100
2,0,8,484,288,0,137138,671,472,124,670,3,100
0,0,0,0,225,0,107636,932,478,128,932,4,100
1,0,4,301,279,0,133491,1199,478,128,1196,4,100
2,0,8,146,227,0,107687,769,470,132,764,4,100
1,0,4,357,312,0,147783,1123,472,127,1121,3,100
1,0,4,209,276,0,132152,785,478,128,783,4,100
1,0,4,37,251,0,119224,939,474,128,936,4,100
1,0,4,104,242,0,114824,1116,473,128,1112,4,100
1,0,4,79,230,0,109880,957,476,128,953,4,100
1,0,4,167,278,0,133439,947,479,129,944,4,100
1,0,4,82,235,0,112116,873,475,128,869,4,100
1,0,4,216,237,0,114282,979,480,129,975,4,100
0,0,0,0,225,0,107419,1040,477,128,1040,4,100
1,0,4,409,205,0,97060,1449,472,128,1444,5,100
